orig_index,raw_name,disambiguated_entity,disambiguated_entity_id
176,aline holmes,aline holmes,2299569294
177,alison barnett,alison barnett,2747995895
178,alison bateman house,alison bateman house,236331020
179,alison holman,alison holman,804550097
180,alison pittard,alison pittard,2436269421
181,alison sinclair,alison sinclair,3675709051
182,alison tothy,alison tothy,2563381478
183,alison whelan,alison whelan,3127589447
184,aliyah cardoza,aliyah cardoza,3430562043
185,allan lichtman,allan lichtman,1102085860
186,allan randrup thomsen,allan randrup thomsen,2442374706
187,allen cheng,allen cheng,2610030272
188,allen pietrobon,allen pietrobon,2974157520
189,allen sills,allen sills,4135575591
190,allin khan,rosena allin khan,3697269960
191,allison aiello,allison aiello,2709732908
192,allison arwady,allison arwady,3141024557
193,allison brashear,allison brashear,3701582836
194,allison chamberlain,allison chamberlain,2366743674
195,allison k hoffman,allison k hoffman,2631754315
196,allison mcgeer,allison mcgeer,20416667
197,allon mordel,allon mordel,465880613
198,allyson pollock,allyson pollock,3539336786
199,alma moeller,alma moeller,3937579889
200,alonso aguirre,alonso aguirre,1839576080
201,alpesh amin,alpesh amin,1424932514
202,alpha fowler,alpha fowler,1580458197
203,alta charo,alta charo,3495883016
204,altaf saadi,altaf saadi,3428013639
205,alvaro alban,alvaro alban,808640331
206,alvin tillery jr,alvin tillery jr,15620163
208,amadou alpha sall,amadou alpha sall,355324245
209,aman pulungan,aman pulungan,1212638192
210,amanda mae simanek,amanda mae simanek,1557810799
211,amanda spray,amanda spray,3425592401
212,amanda williams,amanda williams,2707880514
213,amani ballour,amani ballour,2883394281
214,ambrose otau talisuna,ambrose otau talisuna,2671809043
215,ambrose talisuna,ambrose otau talisuna,2671809043
216,amesh a adalja,amesh a adalja,3193722531
217,amged el hawrani,amged el hawrani,3273342479
218,ami jones,ami jones,632496526
219,amir a afkhami,amir a afkhami,3207913593
220,amir ali,amir ali,4022917409
221,amir attaran,amir attaran,426340471
222,amir khan,amir khan,1148960819
223,amir yaron,amir yaron,2195753118
224,amira roess,amira roess,4158407603
225,amit uppal,amit uppal,2697570350
226,amitava banerjee,amitava banerjee,2796127330
227,amiyatosh purnanandam,amiyatosh purnanandam,4132419924
230,amy action,amy acton,2402968513
231,amy acton,amy acton,2402968513
232,amy castro baker,amy castro baker,1925163619
233,amy cho,amy cho,3955961189
234,amy cohen,amy cohen,3680145185
235,amy compton phillips,amy compton phillips,3938078404
236,amy dalton,amy dalton,709541004
237,amy goldstein,amy goldstein,1916843710
238,amy herold,amy herold,412016749
239,amy klobuchar,amy klobuchar,3631984825
240,amy lessen,amy lessen,1312870367
241,amy mathers,amy mathers,1105777512
242,amy mcgrath,amy mcgrath,3470971275
243,amy morrison,amy morrison,404931127
244,amy plasencia,amy plasencia,3754566208
245,amy r sapkota,amy r sapkota,4173034342
246,amy robach,amy robach,2205144998
247,amy stone,amy stone,141298919
248,ana maria henao restrepo,ana maria henao restrepo,599703329
249,ana silvia gonzalez reiche,ana silvia gonzalez reiche,421525069
250,anahi ortiz,anahi ortiz,2193883945
251,anand menon,anand menon,2148426192
252,anand parekh,anand parekh,1880581961
253,anant agarwal,anant agarwal,2718112795
254,anant bhan,anant bhan,4145287231
255,anas nader,anas nader,1753179390
256,anasse bari,anasse bari,1387810878
258,anastasia vasilieva,anastasia vasilieva,1368305852
259,anastasia vasilyeva,anastasia vasilieva,1368305852
260,anat admati,anat admati,2255613791
261,anders tegnell,anders tegnell,2169059653
263,anderson cooper,anderson cooper,4240698825
264,andre kalil,andre kalil,138802465
265,andre sayegh,andre sayegh,653569210
266,andrea andrea crisanti,andrea andrea crisanti,3756845089
267,andrea crisanti,andrea crisanti,1754199066
268,andrea gambotto,andrea gambotto,2727554220
269,andrea graham,andrea graham,2715637852
270,andrea hricko,andrea hricko,2935850722
271,andrea mitchell,andrea mitchell,3198347321
272,andrea vena,andrea vena,1367471092
273,andreas zapf,andreas zapf,1337291640
274,andrei lankov,andrei lankov,2289783634
275,andres manuel lopez obrador,andres manuel lopez obrador,1915329065
276,andrew bates,andrew bates,1172756086
277,andrew beam,andrew beam,2325822110
278,andrew blythe,andrew blythe,2436317933
279,andrew chan,andrew chan,2910182743
280,andrew chesnut,andrew chesnut,850653559
282,andrew coggins,andrew coggins jr,228997080
283,andrew coggins jr,andrew coggins jr,228997080
284,andrew crane,andrew crane,4063232313
285,andrew cuomo,andrew m cuomo,3138278937
286,andrew dowdle,andrew dowdle,2913295952
287,andrew farmery,andrew farmery,1417354463
288,andrew foxall,andrew foxall,2605398759
289,andrew freedman,andrew freedman,3000360845
290,andrew gibson,andrew gibson,1828614490
292,andrew hastie,andrew hastie,320366945
293,andrew hughes,andrew hughes,3648736134
294,andrew jakubowicz,andrew jakubowicz,433519450
295,andrew janowski,andrew janowski,1711032822
296,andrew kipnis,andrew kipnis,2990448818
297,andrew lakoff,andrew lakoff,1205684006
298,andrew levin,andrew levin,2459651125
299,andrew m cuomo,andrew m cuomo,3138278937
301,andrew mehle,andrew mehle,2161093306
302,andrew metrick,andrew metrick,688069401
303,andrew miller,andrew miller,4043881703
304,andrew montford,andrew montford,1698050261
305,andrew muhammad,andrew muhammad,3741258342
306,andrew norton,andrew norton,3176321886
307,andrew noymer,andrew noymer,1037628640
308,andrew pekosz,andrew stanley pekosz,383909310
309,andrew pollard,andrew pollard,979563825
310,andrew potter,andrew potter,91851732
311,andrew preston,andrew preston,213714540
312,andrew rambaut,andrew rambaut,1141728060
313,andrew roberston,andrew robertson,1406423602
314,andrew robertson,andrew robertson,1406423602
315,andrew rochford,andrew rochford,2220972666
316,andrew rudalevige,andrew rudalevige,1096948965
317,andrew saul,andrew saul,3972913906
318,andrew selepak,andrew selepak,1886362890
319,andrew slattery,andrew slattery,2598290317
320,andrew stanley pekosz,andrew stanley pekosz,383909310
321,andrew stephen,andrew stephen,2146283178
322,andrew tatem,andrew tatem,3734933477
323,andrew weber,andrew weber,1496254861
324,andrew wehrman,andrew wehrman,1528867334
325,andrew winton,andrew winton,4000218260
326,andrew zimmerman,andrew zimmerman,4112213510
328,andy atkeson,andy atkeson,2688090600
329,andy dunn,andy dunn,4208381934
330,andy knox,andy knox,847434162
331,andy pekosz,andrew stanley pekosz,383909310
332,andy slavitt,andy slavitt,2631163598
333,andy sumner,andy sumner,3694010763
334,andy yap,andy yap,4110912582
335,angel almendros,angel almendros,66183630
336,angela b cornell,angela b cornell,3188001791
337,angela caliendo,angela caliendo,3757573079
338,angela charlton,angela charlton,2104991568
339,angela cornell,angela b cornell,3188001791
340,angela gardner,angela gardner,3336170847
341,angela hernandez,angela hernandez,3097200663
342,angela hewlett,angela hewlett,3174993129
343,angela merkel,angela merkel,2300568661
344,angela mills,angela mills,3146081800
345,angela rasmussen,angela rasmussen,3554399752
346,angela rippon,angela rippon,2723170865
347,angela rogers,angela rogers,4199930328
348,angela stuesse,angela stuesse,4279364930
349,angela yeh,angela yeh,1561748706
350,angelo giupponi,angelo giupponi,11122582
351,angelo virgona,angelo virgona,3662547129
352,angie bone,angie bone,195922728
353,angok gordon kuol,angok gordon kuol,4025459453
354,anish mahajan,anish mahajan,2165789877
355,anissa davis,anissa davis,2275161837
356,anita allen,anita allen,1446838365
357,anita isaacs,anita isaacs,799214635
358,anita juvvadi,anita juvvadi,3039057385
359,anita kurian,anita kurian,1555977813
360,anita kurlan,anita kurlan,3277450058
361,anita thomas,anita thomas,1153069030
362,anjali talwalkar,anjali talwalkar,2184212709
364,ann bostrom,ann bostrom,389096195
365,ann carlson,ann carlson,172017578
366,ann keller,ann keller,2743131226
367,ann leen,ann leen,3958499961
368,ann marie kimball,ann marie kimball,4247234877
369,ann masten,ann masten,2826998793
370,ann wagner,ann wagner,1658344221
371,anna bershteyn,anna bershteyn,763650411
372,anna gassman pines,anna gassman pines,2393087796
373,anna goldfarb,anna goldfarb,1241628660
374,anna hemming,anna hemming,1250541722
375,anna kraczyna,anna kraczyna,249218528
376,anna yeung cheung,anna yeung cheung,1824845728
377,anne applebaum,anne applebaum,1706946443
378,anne deprince,anne deprince,261498911
379,anne grete hestnes,anne grete hestnes,4206382683
380,anne lashford,anne lashford,2782668975
381,anne marie gloster,anne marie gloster,2743728224
382,anne marie slaughter,anne marie slaughter,1657434819
383,anne mcclain,anne mcclain,3832171583
384,anne rimoin,anne w rimoin,2421491051
385,anne schuchat,anne schuchat,379452513
386,anne spaulding,anne spaulding,1882487628
387,anne w rimoin,anne w rimoin,2421491051
388,anne walters,anne walters,2758165631
389,anne zink,anne zink,3634145065
390,annelies wilder smith,annelies wilder smith,1773532963
391,annie luetkemeyer,annie luetkemeyer,1261929442
392,anniek de ruijter,anniek de ruijter,3012269042
393,annika sridharan,annika sridharan,1079776220
394,anthnony fauci,anthony fauci,582997773
395,anthony,anthony fauci,582997773
396,anthony almojera,anthony almojera,1650735977
397,anthony cardillo,anthony cardillo,2644837638
398,anthony costello,anthony costello,840205921
399,anthony fauc,anthony fauci,582997773
400,anthony fauci,anthony fauci,582997773
401,anthony fehr,anthony fehr,3981170826
402,anthony fuaci,anthony fauci,582997773
403,anthony kaveh,anthony kaveh,1194119000
404,anthony kennedy,anthony kennedy,2945067492
405,anthony kreis,anthony kreis,278672020
406,anthony santella,anthony santella,170767121
407,anton sebastianpillai,anton sebastianpillai,3194248999
408,antonia ho,antonia ho,3687838896
409,antonio fatas,antonio fatas,3496953202
410,antonio pensenti,antonio pensenti,2690990394
411,anupam jena,anupam jena,480532391
412,apostolos ampountolas,apostolos ampountolas,634289156
413,april abbott,april abbott,939486114
414,april hansen,april hansen,3958271379
415,apryl steele,apryl steele,2780753112
416,arabia mollette,arabia mollette,3711312921
418,arata yamamoto,arata yamamoto,1063176549
419,archon fung,archon fung,215903398
420,areema nasreen,areema nasreen,924836023
421,ari brown,ari brown,3554597438
422,ari ercole,ari ercole,1262543669
423,arieh warshel,arieh warshel,2042229995
424,arielle charnas,arielle charnas,1894276764
425,arif alvi,arif alvi,2156529716
426,arindrajit dube,arindrajit dube,3416239319
427,arinjay banerjee,arinjay banerjee,3735458569
428,aris katzourakis,aris katzourakis,2767287075
429,arjun appadurai,arjun appadurai,1352535779
430,arlene keeling,arlene keeling,399985229
431,arlene tickner,arlene tickner,3686802525
432,armand dorian,armand dorian,3226830211
433,armand sprecher,armand sprecher,2857942166
434,armida fernandez,armida fernandez,2055072691
436,arne akbar,arne akbar,134909138
437,arnold hopland,arnold hopland,188736126
438,arnold monto,arnold monto,2729660080
439,arnold vargas gabrin,arnold vargas gabrin,1145624560
440,art caplan,arthur caplan,126787123
441,art fougner,art fougner,3423077197
442,art mathisen,art mathisen,126650825
443,arthur caplan,arthur caplan,126787123
444,arthur jey,arthur jey,2211224899
445,arthur l reingold,arthur l reingold,3840446628
446,arthur markman,arthur markman,3696615405
447,arthur reingold,arthur l reingold,3840446628
448,arturo bris,arturo bris,1541962933
449,arturo casadevall,arturo casadevall,1809591082
450,arturo vargas bustamante,arturo vargas bustamante,1091545065
451,artyom lukin,artyom lukin,4272745841
452,arun sanyal,arun sanyal,3588237380
453,aruna ravichandran,aruna ravichandran,465930282
454,aruna subramanian,aruna subramanian,4202719075
455,arvind kumar,arvind kumar,1168511856
